位置(pixel),光强(灰度值)
0.000,2.938
1.000,2.954
2.000,3.258
3.000,3.854
4.000,4.258
5.000,4.600
6.000,4.758
7.000,4.742
8.000,4.496
9.000,4.279
10.000,4.275
11.000,4.892
12.000,5.708
13.000,6.379
14.000,6.692
15.000,6.404
16.000,5.871
17.000,5.275
18.000,4.825
19.000,4.742
20.000,5.242
21.000,6.162
22.000,7.033
23.000,7.438
24.000,7.204
25.000,6.400
26.000,5.571
27.000,4.979
28.000,4.879
29.000,5.287
30.000,6.129
31.000,6.987
32.000,7.338
33.000,6.975
34.000,6.083
35.000,5.250
36.000,4.942
37.000,5.050
38.000,5.504
39.000,6.079
40.000,6.571
41.000,6.758
42.000,6.412
43.000,5.654
44.000,5.029
45.000,4.796
46.000,5.050
47.000,5.371
48.000,5.596
49.000,5.796
50.000,5.925
51.000,5.900
52.000,5.600
53.000,5.083
54.000,4.542
55.000,4.417
56.000,4.625
57.000,4.900
58.000,5.062
59.000,5.258
60.000,5.308
61.000,5.258
62.000,5.054
63.000,4.908
64.000,4.963
65.000,5.121
66.000,5.204
67.000,5.088
68.000,4.900
69.000,4.796
70.000,4.700
71.000,4.496
72.000,4.287
73.000,4.221
74.000,4.283
75.000,4.383
76.000,4.342
77.000,4.208
78.000,4.304
79.000,4.575
80.000,4.767
81.000,4.888
82.000,4.904
83.000,4.775
84.000,4.612
85.000,4.471
86.000,4.517
87.000,4.579
88.000,4.529
89.000,4.404
90.000,4.296
91.000,4.450
92.000,4.779
93.000,5.188
94.000,5.379
95.000,5.367
96.000,5.246
97.000,5.129
98.000,4.987
99.000,4.933
100.000,4.912
101.000,5.088
102.000,5.504
103.000,5.979
104.000,6.221
105.000,6.112
106.000,5.713
107.000,5.267
108.000,4.942
109.000,4.942
110.000,5.513
111.000,6.554
112.000,7.446
113.000,7.800
114.000,7.479
115.000,6.737
116.000,5.771
117.000,5.208
118.000,5.346
119.000,6.308
120.000,7.617
121.000,8.771
122.000,9.067
123.000,8.658
124.000,7.679
125.000,6.475
126.000,5.675
127.000,5.742
128.000,6.763
129.000,8.392
130.000,9.812
131.000,10.367
132.000,9.838
133.000,8.387
134.000,6.871
135.000,5.783
136.000,5.717
137.000,6.787
138.000,8.558
139.000,10.342
140.000,11.250
141.000,10.750
142.000,9.046
143.000,6.979
144.000,5.525
145.000,5.546
146.000,7.037
147.000,9.271
148.000,11.217
149.000,11.983
150.000,11.196
151.000,9.242
152.000,7.200
153.000,5.992
154.000,5.975
155.000,7.100
156.000,8.954
157.000,10.617
158.000,11.217
159.000,10.492
160.000,8.883
161.000,7.188
162.000,5.963
163.000,5.812
164.000,6.821
165.000,8.475
166.000,9.917
167.000,10.338
168.000,9.600
169.000,8.192
170.000,6.554
171.000,5.296
172.000,4.883
173.000,5.558
174.000,6.783
175.000,7.875
176.000,8.342
177.000,7.908
178.000,6.796
179.000,5.567
180.000,4.692
181.000,4.446
182.000,4.879
183.000,5.513
184.000,6.208
185.000,6.429
186.000,6.154
187.000,5.579
188.000,5.075
189.000,4.829
190.000,4.713
191.000,4.721
192.000,4.700
193.000,4.771
194.000,4.896
195.000,5.017
196.000,4.971
197.000,4.850
198.000,4.846
199.000,4.758
200.000,4.650
201.000,4.533
202.000,4.421
203.000,4.442
204.000,4.667
205.000,4.713
206.000,4.575
207.000,4.408
208.000,4.375
209.000,4.708
210.000,5.342
211.000,5.896
212.000,6.267
213.000,6.296
214.000,5.987
215.000,5.533
216.000,5.296
217.000,5.554
218.000,6.446
219.000,8.004
220.000,9.646
221.000,10.692
222.000,10.621
223.000,9.354
224.000,7.575
225.000,6.263
226.000,6.688
227.000,9.200
228.000,13.021
229.000,16.613
230.000,18.596
231.000,17.887
232.000,14.787
233.000,10.717
234.000,8.025
235.000,8.704
236.000,13.058
237.000,19.800
238.000,26.208
239.000,29.433
240.000,27.904
241.000,22.229
242.000,15.108
243.000,10.275
244.000,10.929
245.000,17.846
246.000,28.688
247.000,39.013
248.000,44.121
249.000,41.417
250.000,31.875
251.000,20.250
252.000,12.725
253.000,13.917
254.000,24.358
255.000,40.067
256.000,54.438
257.000,61.021
258.000,56.708
259.000,43.321
260.000,27.217
261.000,16.567
262.000,17.617
263.000,31.150
264.000,52.054
265.000,71.350
266.000,80.075
267.000,74.067
268.000,55.921
269.000,34.467
270.000,20.333
271.000,21.317
272.000,38.433
273.000,64.967
274.000,89.033
275.000,99.696
276.000,91.754
277.000,68.700
278.000,41.567
279.000,23.829
280.000,25.021
281.000,45.917
282.000,77.862
283.000,106.654
284.000,118.958
285.000,108.996
286.000,81.312
287.000,48.850
288.000,27.508
289.000,28.217
290.000,51.913
291.000,88.354
292.000,121.104
293.000,135.029
294.000,123.412
295.000,91.504
296.000,54.479
297.000,30.212
298.000,30.871
299.000,57.050
300.000,97.383
301.000,133.442
302.000,148.425
303.000,135.300
304.000,100.046
305.000,59.317
306.000,32.571
307.000,32.938
308.000,60.737
309.000,103.500
310.000,141.229
311.000,156.375
312.000,141.842
313.000,104.475
314.000,61.733
315.000,33.696
316.000,33.742
317.000,62.183
318.000,105.808
319.000,144.037
320.000,159.050
321.000,144.067
322.000,105.921
323.000,62.258
324.000,33.604
325.000,33.383
326.000,61.462
327.000,104.279
328.000,141.700
329.000,156.088
330.000,140.738
331.000,102.883
332.000,60.129
333.000,32.337
334.000,32.050
335.000,58.788
336.000,99.433
337.000,134.783
338.000,148.075
339.000,133.121
340.000,97.062
341.000,56.883
342.000,30.867
343.000,30.308
344.000,54.583
345.000,91.492
346.000,123.225
347.000,134.846
348.000,120.979
349.000,88.221
350.000,51.575
351.000,27.617
352.000,26.800
353.000,48.271
354.000,80.746
355.000,108.454
356.000,118.287
357.000,105.829
358.000,76.900
359.000,44.992
360.000,24.342
361.000,23.538
362.000,41.633
363.000,68.950
364.000,92.104
365.000,100.037
366.000,89.267
367.000,64.992
368.000,38.458
369.000,21.158
370.000,20.100
371.000,34.425
372.000,55.962
373.000,73.942
374.000,79.871
375.000,71.108
376.000,51.817
377.000,30.854
378.000,17.308
379.000,16.308
380.000,26.833
381.000,43.167
382.000,56.900
383.000,61.271
384.000,54.275
385.000,39.621
386.000,24.087
387.000,13.992
388.000,13.162
389.000,20.846
390.000,32.312
391.000,41.300
392.000,43.754
393.000,38.767
394.000,28.663
395.000,17.696
396.000,10.692
397.000,10.037
398.000,14.908
399.000,22.146
400.000,27.863
401.000,29.396
402.000,26.171
403.000,19.829
404.000,13.075
405.000,8.692
406.000,7.908
407.000,10.383
408.000,14.258
409.000,17.408
