位置(pixel),光强(灰度值)
0.000,0.615
1.000,0.518
2.000,0.453
3.000,0.477
4.000,0.418
5.000,0.391
6.000,0.461
7.000,0.520
8.000,0.418
9.000,0.359
10.000,0.365
11.000,0.441
12.000,0.398
13.000,0.367
14.000,0.371
15.000,0.430
16.000,0.387
17.000,0.400
18.000,0.490
19.000,0.518
20.000,0.420
21.000,0.451
22.000,0.479
23.000,0.482
24.000,0.471
25.000,0.512
26.000,0.512
27.000,0.439
28.000,0.371
29.000,0.391
30.000,0.387
31.000,0.373
32.000,0.416
33.000,0.529
34.000,0.574
35.000,0.502
36.000,0.414
37.000,0.342
38.000,0.334
39.000,0.350
40.000,0.350
41.000,0.363
42.000,0.402
43.000,0.475
44.000,0.609
45.000,0.543
46.000,0.486
47.000,0.402
48.000,0.395
49.000,0.400
50.000,0.412
51.000,0.436
52.000,0.348
53.000,0.299
54.000,0.295
55.000,0.361
56.000,0.428
57.000,0.369
58.000,0.340
59.000,0.297
60.000,0.311
61.000,0.297
62.000,0.312
63.000,0.346
64.000,0.383
65.000,0.404
66.000,0.408
67.000,0.424
68.000,0.455
69.000,0.479
70.000,0.506
71.000,0.576
72.000,0.574
73.000,0.498
74.000,0.477
75.000,0.506
76.000,0.623
77.000,0.648
78.000,0.615
79.000,0.580
80.000,0.553
81.000,0.525
82.000,0.434
83.000,0.430
84.000,0.514
85.000,0.529
86.000,0.516
87.000,0.551
88.000,0.531
89.000,0.545
90.000,0.596
91.000,0.625
92.000,0.707
93.000,0.826
94.000,0.855
95.000,0.799
96.000,0.752
97.000,0.787
98.000,0.867
99.000,0.908
100.000,1.002
101.000,1.035
102.000,1.100
103.000,1.150
104.000,1.230
105.000,1.225
106.000,1.234
107.000,1.264
108.000,1.273
109.000,1.316
110.000,1.367
111.000,1.436
112.000,1.479
113.000,1.518
114.000,1.527
115.000,1.609
116.000,1.715
117.000,1.775
118.000,1.801
119.000,1.855
120.000,1.986
121.000,2.201
122.000,2.365
123.000,2.393
124.000,2.438
125.000,2.576
126.000,2.793
127.000,2.957
128.000,3.021
129.000,3.025
130.000,3.096
131.000,3.266
132.000,3.475
133.000,3.676
134.000,3.887
135.000,4.070
136.000,4.213
137.000,4.393
138.000,4.588
139.000,4.807
140.000,4.973
141.000,5.129
142.000,5.426
143.000,5.648
144.000,5.789
145.000,5.967
146.000,6.158
147.000,6.336
148.000,6.652
149.000,6.955
150.000,7.145
151.000,7.436
152.000,7.840
153.000,8.176
154.000,8.355
155.000,8.570
156.000,8.873
157.000,9.123
158.000,9.355
159.000,9.695
160.000,10.094
161.000,10.463
162.000,10.852
163.000,11.232
164.000,11.592
165.000,11.889
166.000,12.338
167.000,12.791
168.000,13.250
169.000,13.596
170.000,13.971
171.000,14.355
172.000,14.785
173.000,15.238
174.000,15.660
175.000,16.152
176.000,16.631
177.000,17.070
178.000,17.539
179.000,17.965
180.000,18.348
181.000,18.879
182.000,19.486
183.000,20.092
184.000,20.461
185.000,20.807
186.000,21.285
187.000,21.943
188.000,22.676
189.000,23.342
190.000,24.010
191.000,24.570
192.000,25.049
193.000,25.490
194.000,25.939
195.000,26.609
196.000,27.273
197.000,27.818
198.000,28.316
199.000,28.869
200.000,29.461
201.000,30.039
202.000,30.650
203.000,31.221
204.000,31.809
205.000,32.355
206.000,32.930
207.000,33.594
208.000,34.209
209.000,34.758
210.000,35.350
211.000,36.004
212.000,36.559
213.000,37.055
214.000,37.672
215.000,38.297
216.000,38.863
217.000,39.414
218.000,40.012
219.000,40.539
220.000,41.082
221.000,41.629
222.000,42.180
223.000,42.727
224.000,43.285
225.000,43.836
226.000,44.301
227.000,44.775
228.000,45.281
229.000,45.809
230.000,46.227
231.000,46.645
232.000,47.070
233.000,47.572
234.000,48.021
235.000,48.406
236.000,48.846
237.000,49.221
238.000,49.535
239.000,49.916
240.000,50.381
241.000,50.740
242.000,50.844
243.000,51.033
244.000,51.346
245.000,51.641
246.000,51.881
247.000,52.127
248.000,52.295
249.000,52.471
250.000,52.713
251.000,52.939
252.000,53.078
253.000,53.102
254.000,53.135
255.000,53.381
256.000,53.551
257.000,53.521
258.000,53.424
259.000,53.531
260.000,53.617
261.000,53.629
262.000,53.662
263.000,53.754
264.000,53.717
265.000,53.602
266.000,53.484
267.000,53.340
268.000,53.189
269.000,52.961
270.000,52.680
271.000,52.529
272.000,52.426
273.000,52.287
274.000,52.057
275.000,51.850
276.000,51.551
277.000,51.125
278.000,50.717
279.000,50.467
280.000,50.205
281.000,49.836
282.000,49.529
283.000,49.285
284.000,48.961
285.000,48.453
286.000,47.998
287.000,47.555
288.000,47.096
289.000,46.666
290.000,46.240
291.000,45.822
292.000,45.305
293.000,44.736
294.000,44.225
295.000,43.740
296.000,43.342
297.000,42.891
298.000,42.260
299.000,41.596
300.000,40.951
301.000,40.463
302.000,39.949
303.000,39.467
304.000,38.949
305.000,38.344
306.000,37.734
307.000,37.121
308.000,36.561
309.000,36.059
310.000,35.648
311.000,35.172
312.000,34.506
313.000,33.814
314.000,33.129
315.000,32.408
316.000,31.711
317.000,31.160
318.000,30.533
319.000,29.943
320.000,29.445
321.000,28.898
322.000,28.314
323.000,27.723
324.000,27.131
325.000,26.656
326.000,26.143
327.000,25.578
328.000,25.018
329.000,24.445
330.000,23.859
331.000,23.270
332.000,22.785
333.000,22.256
334.000,21.678
335.000,21.064
336.000,20.541
337.000,20.084
338.000,19.582
339.000,18.971
340.000,18.412
341.000,18.049
342.000,17.695
343.000,17.225
344.000,16.707
345.000,16.232
346.000,15.750
347.000,15.285
348.000,14.891
349.000,14.385
350.000,13.875
351.000,13.514
352.000,13.164
353.000,12.689
354.000,12.252
355.000,11.912
356.000,11.615
357.000,11.176
358.000,10.791
359.000,10.451
360.000,10.039
361.000,9.756
362.000,9.578
363.000,9.330
364.000,8.959
365.000,8.588
366.000,8.287
367.000,8.023
368.000,7.814
369.000,7.551
370.000,7.238
371.000,6.957
372.000,6.717
373.000,6.438
374.000,6.188
375.000,5.982
376.000,5.797
377.000,5.592
378.000,5.289
379.000,5.092
380.000,5.041
381.000,4.893
382.000,4.588
383.000,4.324
384.000,4.092
385.000,3.918
386.000,3.824
387.000,3.783
388.000,3.611
389.000,3.330
390.000,3.131
391.000,3.055
392.000,3.053
393.000,2.961
394.000,2.838
395.000,2.674
396.000,2.523
397.000,2.422
398.000,2.406
399.000,2.334
400.000,2.145
401.000,1.947
402.000,1.805
403.000,1.777
404.000,1.785
405.000,1.727
406.000,1.590
407.000,1.477
408.000,1.477
409.000,1.455
410.000,1.389
411.000,1.258
412.000,1.143
413.000,1.102
414.000,1.111
415.000,1.023
416.000,0.939
417.000,0.895
418.000,0.801
419.000,0.818
420.000,0.885
421.000,0.809
422.000,0.730
423.000,0.715
424.000,0.666
425.000,0.711
426.000,0.680
427.000,0.697
428.000,0.607
429.000,0.623
430.000,0.680
431.000,0.746
432.000,0.713
433.000,0.646
434.000,0.623
435.000,0.598
436.000,0.648
437.000,0.598
438.000,0.527
439.000,0.510
440.000,0.502
441.000,0.564
442.000,0.656
443.000,0.623
444.000,0.521
445.000,0.434
446.000,0.449
447.000,0.500
448.000,0.539
449.000,0.484
450.000,0.441
451.000,0.426
452.000,0.451
453.000,0.469
454.000,0.445
455.000,0.482
456.000,0.457
457.000,0.418
458.000,0.396
459.000,0.385
460.000,0.389
461.000,0.447
462.000,0.484
463.000,0.471
464.000,0.449
465.000,0.402
