位置(pixel),光强(灰度值)
0.000,0.013
1.000,0.002
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.002
6.000,0.000
7.000,0.000
8.000,0.002
9.000,0.004
10.000,0.000
11.000,0.000
12.000,0.000
13.000,0.000
14.000,0.000
15.000,0.000
16.000,0.000
17.000,0.000
18.000,0.000
19.000,0.000
20.000,0.000
21.000,0.000
22.000,0.000
23.000,0.000
24.000,0.000
25.000,0.000
26.000,0.000
27.000,0.000
28.000,0.000
29.000,0.000
30.000,0.000
31.000,0.002
32.000,0.006
33.000,0.000
34.000,0.002
35.000,0.002
36.000,0.004
37.000,0.002
38.000,0.004
39.000,0.002
40.000,0.000
41.000,0.000
42.000,0.000
43.000,0.000
44.000,0.000
45.000,0.000
46.000,0.000
47.000,0.000
48.000,0.002
49.000,0.004
50.000,0.010
51.000,0.004
52.000,0.006
53.000,0.002
54.000,0.002
55.000,0.008
56.000,0.006
57.000,0.000
58.000,0.000
59.000,0.000
60.000,0.000
61.000,0.000
62.000,0.000
63.000,0.000
64.000,0.000
65.000,0.004
66.000,0.010
67.000,0.013
68.000,0.008
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.002
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.002
97.000,0.002
98.000,0.000
99.000,0.004
100.000,0.008
101.000,0.002
102.000,0.008
103.000,0.004
104.000,0.004
105.000,0.002
106.000,0.019
107.000,0.015
108.000,0.008
109.000,0.015
110.000,0.008
111.000,0.008
112.000,0.010
113.000,0.010
114.000,0.015
115.000,0.004
116.000,0.025
117.000,0.019
118.000,0.013
119.000,0.004
120.000,0.013
121.000,0.017
122.000,0.019
123.000,0.010
124.000,0.002
125.000,0.000
126.000,0.000
127.000,0.000
128.000,0.000
129.000,0.000
130.000,0.000
131.000,0.000
132.000,0.000
133.000,0.000
134.000,0.000
135.000,0.000
136.000,0.000
137.000,0.000
138.000,0.000
139.000,0.000
140.000,0.000
141.000,0.000
142.000,0.000
143.000,0.000
144.000,0.000
145.000,0.000
146.000,0.000
147.000,0.000
148.000,0.000
149.000,0.000
150.000,0.004
151.000,0.002
152.000,0.002
153.000,0.000
154.000,0.004
155.000,0.021
156.000,0.017
157.000,0.017
158.000,0.040
159.000,0.040
160.000,0.037
161.000,0.044
162.000,0.067
163.000,0.121
164.000,0.167
165.000,0.169
166.000,0.167
167.000,0.181
168.000,0.219
169.000,0.271
170.000,0.304
171.000,0.302
172.000,0.287
173.000,0.281
174.000,0.312
175.000,0.331
176.000,0.267
177.000,0.244
178.000,0.244
179.000,0.194
180.000,0.131
181.000,0.106
182.000,0.094
183.000,0.083
184.000,0.027
185.000,0.035
186.000,0.025
187.000,0.010
188.000,0.013
189.000,0.008
190.000,0.002
191.000,0.002
192.000,0.000
193.000,0.000
194.000,0.000
195.000,0.000
196.000,0.002
197.000,0.000
198.000,0.000
199.000,0.000
200.000,0.000
201.000,0.002
202.000,0.000
203.000,0.000
204.000,0.000
205.000,0.000
206.000,0.000
207.000,0.004
208.000,0.000
209.000,0.010
210.000,0.013
211.000,0.031
212.000,0.060
213.000,0.133
214.000,0.244
215.000,0.327
216.000,0.492
217.000,0.775
218.000,1.140
219.000,1.600
220.000,2.069
221.000,2.479
222.000,2.835
223.000,3.229
224.000,3.631
225.000,4.062
226.000,4.415
227.000,4.790
228.000,5.044
229.000,5.312
230.000,5.588
231.000,5.779
232.000,5.896
233.000,5.921
234.000,5.881
235.000,5.850
236.000,5.773
237.000,5.640
238.000,5.460
239.000,5.244
240.000,5.048
241.000,4.754
242.000,4.444
243.000,3.967
244.000,3.421
245.000,2.913
246.000,2.431
247.000,1.990
248.000,1.521
249.000,1.010
250.000,0.525
251.000,0.217
252.000,0.102
253.000,0.052
254.000,0.019
255.000,0.004
256.000,0.000
257.000,0.000
258.000,0.000
259.000,0.000
260.000,0.000
261.000,0.000
262.000,0.000
263.000,0.004
264.000,0.017
265.000,0.017
266.000,0.081
267.000,0.329
268.000,1.067
269.000,2.333
270.000,3.915
271.000,5.721
272.000,7.700
273.000,9.783
274.000,12.121
275.000,14.738
276.000,17.596
277.000,20.613
278.000,23.858
279.000,27.173
280.000,30.825
281.000,34.744
282.000,38.881
283.000,43.135
284.000,47.490
285.000,52.031
286.000,56.779
287.000,61.727
288.000,66.892
289.000,72.183
290.000,77.535
291.000,83.081
292.000,88.740
293.000,94.317
294.000,99.838
295.000,105.350
296.000,110.892
297.000,116.429
298.000,122.102
299.000,127.654
300.000,133.125
301.000,138.569
302.000,143.875
303.000,148.938
304.000,153.787
305.000,158.500
306.000,163.050
307.000,167.406
308.000,171.483
309.000,175.279
310.000,178.808
311.000,182.065
312.000,185.073
313.000,187.688
314.000,189.873
315.000,191.733
316.000,193.296
317.000,194.554
318.000,195.546
319.000,196.100
320.000,196.262
321.000,196.046
322.000,195.533
323.000,194.604
324.000,193.260
325.000,191.617
326.000,189.723
327.000,187.492
328.000,184.919
329.000,181.967
330.000,178.796
331.000,175.275
332.000,171.419
333.000,167.387
334.000,163.150
335.000,158.640
336.000,153.908
337.000,149.037
338.000,143.933
339.000,138.617
340.000,133.217
341.000,127.794
342.000,122.412
